id,hero,str,str_gain,str30,agi,agi_gain,agi30,int,int_gain,int30,t,t_gain,t30,ms,ar,dmg_min,dmg_max,rg,as,bat,atk-pt,atk-bs,vs-d,vs-n,tr,col,hp-s,l
1,Abaddon,22,2.8,103.2,23,1.5,66.5,18,2,76,63,6.3,245.7,325,2.83,50,60,150,120,1.7,0.56,0.41,1800,800,0.6,24,3.2,2
2,Alchemist,25,2.9,109.1,22,1.5,65.5,25,1.8,77.2,72,6.2,251.8,305,2.67,52,58,150,100,1.7,0.35,0.65,1800,800,0.6,24,2.75,2
3,Ancient Apparition,20,1.9,75.1,20,2.2,83.8,23,3.4,121.6,63,7.5,280.5,285,2.33,44,54,675,100,1.7,0.45,0.3,1800,800,0.6,24,2.25,0
4,Anti-Mage,23,1.6,69.4,24,2.8,105.2,12,1.8,64.2,59,6.2,238.8,310,4,53,57,150,100,1.4,0.3,0.6,1800,800,0.6,24,2.55,2
5,Arc Warden,22,2.6,97.4,20,2.5,92.5,24,2.6,99.4,66,7.7,289.3,285,2.33,47,57,625,100,1.7,0.3,0.7,1800,800,0.7,24,2.45,2
6,Axe,25,3.4,123.6,20,2.2,83.8,18,1.6,64.4,63,7.2,271.8,310,2.33,52,56,150,100,1.7,0.4,0.5,1800,800,0.6,24,5.25,2
7,Bane,22,2.5,94.5,22,2.5,94.5,22,2.5,94.5,66,7.5,283.5,305,4.67,55,61,400,100,1.7,0.3,0.7,1800,1200,0.6,24,2.45,4
8,Batrider,28,2.9,112.1,15,1.8,67.2,22,2.9,106.1,65,7.6,285.4,300,3.5,39,43,400,100,1.7,0.3,0.54,1600,800,0.9,24,4.55,2
9,Beastmaster,23,2.9,107.1,18,1.6,64.4,16,1.9,71.1,57,6.4,242.6,305,3,56,60,150,100,1.7,0.3,0.7,1800,800,0.6,24,2.55,2
10,Bloodseeker,24,2.7,102.3,22,3.1,111.9,17,2,75,63,7.8,289.2,300,5.67,57,63,150,100,1.7,0.43,0.74,1800,800,0.6,24,2.65,2
11,Bounty Hunter,20,2.5,92.5,21,2.6,96.4,22,1.9,77.1,63,7,266,320,7.5,51,59,150,100,1.7,0.59,0.59,1800,1000,0.6,24,3.25,2
12,Brewmaster,23,3.7,130.3,19,2,77,15,1.6,61.4,57,7.3,268.7,310,2.17,52,59,150,100,1.7,0.35,0.65,1800,800,0.6,24,2.8,2
13,Bristleback,22,2.9,106.1,17,1.8,69.2,14,2.8,95.2,53,7.5,270.5,290,3.83,52,58,150,100,1.8,0.3,0.3,1800,800,0.9,24,2.45,2
14,Broodmother,18,3.2,110.8,19,3.4,117.6,18,2,76,55,8.6,304.4,280,3.17,48,54,150,125,1.7,0.4,0.5,1800,800,0.6,24,2.05,8
15,Centaur Warrunner,27,4.6,160.4,15,1,44,15,1.6,61.4,57,7.2,265.8,300,2.5,63,65,150,90,1.7,0.3,0.3,1800,800,0.6,24,2.95,4
16,Chaos Knight,22,3.2,114.8,18,1.4,58.6,18,1.2,52.8,58,5.8,226.2,325,5,51,81,150,100,1.7,0.5,0.5,1800,800,0.6,24,2.45,2
17,Chen,25,2,83,15,2.1,75.9,19,3.2,111.8,59,7.3,270.7,300,1.5,46,56,650,100,1.7,0.5,0.5,1800,800,0.6,24,2.75,2
18,Clinkz,16,2,74,22,2.5,94.5,18,2.2,81.8,56,6.7,250.3,290,3.67,37,43,600,100,1.7,0.4,0.3,1800,800,0.6,24,1.85,2
19,Clockwerk,26,3.5,127.5,13,2.3,79.7,18,1.5,61.5,57,7.3,268.7,310,3.17,50,52,150,100,1.7,0.33,0.64,1800,800,0.6,24,2.85,2
20,Crystal Maiden,18,2.2,81.8,16,1.6,62.4,16,3.3,111.7,50,7.1,255.9,280,1.67,44,50,600,100,1.7,0.45,0,1800,800,0.6,24,2.05,2
21,Dark Seer,20,3.1,109.9,18,1.8,70.2,21,3.1,110.9,59,8,291,295,5,54,60,150,100,1.7,0.59,0.58,1800,800,0.6,24,2.25,2
22,Dark Willow,20,2,78,18,1.6,64.4,21,3.5,122.5,59,7.1,264.9,290,2,48,56,475,115,1.5,0.3,1,1800,800,0.7,24,2.5,2
